track,config,forest_auc_mean,forest_auc_sd,all_auc_mean,n_runs
A,diff,0.8878775133450021,0.00506340165331177,0.9242239848863733,3
A,diffadv,0.8991355573552079,0.0020125375552103616,0.9394494104350147,3
A,full,0.897453172757909,0.004751163704855891,0.938760310252583,3
A,nophys,0.9095081724531292,0.002853881249202198,0.9449933418841526,3
B1,diff,0.6415608814036632,0.06308442616297841,0.6421152214632656,9
B1,diffadv,0.7040117413631147,0.026806630726679513,0.7298378805447024,9
B1,full,0.7011697194700643,0.016161080719659403,0.7184702176101782,9
B1,nophys,0.7015922973865389,0.018848709669243194,0.7235393048994938,9
B2,full,0.5689333758674727,0.09428275686056099,0.5700842481278949,18
B2,nophys,0.6347863451225497,0.13541437327881095,0.6143728796530725,18
B3,diff,0.8230728292093384,0.00889848347890139,0.8855229412476194,3
B3,diffadv,0.8337423264102041,0.0014363391677934558,0.894125131701772,3
B3,full,0.8326556810713689,0.004399825616775647,0.8934330289299948,3
B3,nophys,0.8483109187897462,0.0010969106077234898,0.904355219547046,3
B3orig,full,0.833602438398651,0.0060590900755902195,0.8940617614989251,3
B3orig,nophys,0.84857246014346,0.0012093615206912392,0.9044733553944199,3
