track,config,vs,seed,n,prevalence,delong_auc1,delong_auc2,delong_diff,delong_se,delong_ci95,delong_z,delong_p,blockboot_diff,blockboot_ci95,blockboot_p_two_sided,blockboot_n_blocks,blockboot_n_boot
A,diff,nophys,42,4508,0.42058562555456963,0.9263695310834125,0.9447639222736994,-0.018394391190286963,0.002722631507570722,"[-0.023730748945125578, -0.013058033435448348]",-6.756107515518846,1.4174824950426718e-11,,,,,
A,diff,nophys,43,4508,0.42058562555456963,0.9273204933736535,0.94687827117297,-0.019557777799316445,0.0026662820281852066,"[-0.02478369057455945, -0.01433186502407344]",-7.33522470337782,2.2134979100859384e-13,,,,,
A,diff,nophys,44,4508,0.42058562555456963,0.9189819302020535,0.9433378322057883,-0.02435590200373472,0.003064168964740097,"[-0.03036167317462531, -0.01835013083284413]",-7.948615851149901,1.8860691040928073e-15,,,,,
A,diffadv,nophys,42,4508,0.42058562555456963,0.9387997864449054,0.9447639222736994,-0.0059641358287940704,0.002115155998089548,"[-0.010109841585049585, -0.0018184300725385561]",-2.819714401292859,0.004806640867415074,,,,,
A,diffadv,nophys,43,4508,0.42058562555456963,0.9409247363676896,0.94687827117297,-0.0059535348052803805,0.001953400939258138,"[-0.00978220064622633, -0.0021248689643344303]",-3.0477792273108113,0.0023053923156791537,,,,,
A,diffadv,nophys,44,4508,0.42058562555456963,0.9386237084924497,0.9433378322057883,-0.004714123713338569,0.001997830895675117,"[-0.008629872268861798, -0.0007983751578153403]",-2.3596209887151383,0.018293614471562653,,,,,
A,full,nophys,42,4508,0.42058562555456963,0.9398620090009757,0.9447639222736994,-0.0049019132727237125,0.0020316690228281385,"[-0.008883984557466864, -0.0009198419879805613]",-2.412751889035605,0.015832593180128435,,,,,
A,full,nophys,43,4508,0.42058562555456963,0.9394822904349287,0.94687827117297,-0.0073959807380412634,0.002038518269016287,"[-0.011391476545313186, -0.0034004849307693406]",-3.6281159950606123,0.000285496994692447,,,,,
A,full,nophys,44,4508,0.42058562555456963,0.9369366313218447,0.9433378322057883,-0.006401200883943581,0.0021268155809085194,"[-0.010569759422524277, -0.0022326423453628832]",-3.0097583172722278,0.0026145564406592644,,,,,
B1,diff,nophys,42,22542,0.40639694791943926,,,,,,,,-0.036176188084154126,"[-0.08935552136921827, 0.002349325534250276]",0.07333333333333333,123.0,300.0
B1,diff,nophys,43,22542,0.40639694791943926,,,,,,,,-0.057568185386626114,"[-0.10803865912344049, -0.01886953442185567]",0.0,123.0,300.0
B1,diff,nophys,44,22542,0.40639694791943926,,,,,,,,-0.05554798836817487,"[-0.11161255997478499, -0.01808500257559776]",0.0,123.0,300.0
B1,diffadv,nophys,42,22542,0.40639694791943926,,,,,,,,0.013132367635501074,"[-0.013661771483182181, 0.03897555638711214]",0.3466666666666667,123.0,300.0
B1,diffadv,nophys,43,22542,0.40639694791943926,,,,,,,,-0.031051111586198443,"[-0.06258386698516322, 0.003585103033235504]",0.08666666666666667,123.0,300.0
B1,diffadv,nophys,44,22542,0.40639694791943926,,,,,,,,0.03206602518689705,"[-0.00379478780609923, 0.06310135841845187]",0.08666666666666667,123.0,300.0
B1,full,nophys,42,22542,0.40639694791943926,,,,,,,,0.003728961017631316,"[-0.027560225214878848, 0.034029592127218816]",0.9066666666666666,123.0,300.0
B1,full,nophys,43,22542,0.40639694791943926,,,,,,,,0.004769020775832744,"[-0.02499616069744577, 0.03241325670813294]",0.7466666666666667,123.0,300.0
B1,full,nophys,44,22542,0.40639694791943926,,,,,,,,0.029477064097967465,"[-0.0026157232723574447, 0.05979745061525305]",0.08,123.0,300.0
B2,full,nophys,42,22542,0.40639694791943926,,,,,,,,0.003629677543215193,"[-0.03483470267541152, 0.04443220431096915]",0.8666666666666667,123.0,300.0
B2,full,nophys,43,22542,0.40639694791943926,,,,,,,,-0.04128542229894028,"[-0.08540014508097481, 0.0021624623656474966]",0.06,123.0,300.0
B2,full,nophys,44,22542,0.40639694791943926,,,,,,,,-0.048899197485570256,"[-0.09954900041729851, 0.001240868722519548]",0.06666666666666667,123.0,300.0
B3,diff,nophys,42,856596,0.02463821918383929,0.8854173707622436,0.9050933777416321,-0.01967600697938854,0.0004800323304088189,"[-0.020616870346989825, -0.018735143611787252]",-40.988920397573004,0.0,,,,,
