model,region_id,roc_auc,n_test_pixels,n_test_fire_pixels
RandomForest,0,0.680469432729207,8614,124
PlainMLP,0,0.7500246969869674,8614,124
PINN,0,0.7361625631672937,8614,124
RandomForest,1,0.9525402050781545,907147,28665
PlainMLP,1,0.9425434590619535,907147,28665
PINN,1,0.9396005057807382,907147,28665
RandomForest,2,0.8162820163143992,444535,104644
PlainMLP,2,0.8493764462964697,444535,104644
PINN,2,0.8474204393024724,444535,104644
RandomForest,3,0.9308565711637403,772820,38365
PlainMLP,3,0.9328133396158818,772820,38365
PINN,3,0.9341284924020351,772820,38365
RandomForest,4,0.8949923892697642,586497,52155
PlainMLP,4,0.9061373834522345,586497,52155
PINN,4,0.9082129647677714,586497,52155
RandomForest,5,0.9571936755947041,1441396,46121
PlainMLP,5,0.9567952557186225,1441396,46121
PINN,5,0.9563595213850586,1441396,46121
