model,fold,roc_auc,average_precision,n_test_pixels,n_test_fire_pixels
LogisticRegression,0,0.9315699111588464,0.35260787800878357,1387132,69369
RandomForest,0,0.9408139983039489,0.40157103445985726,1387132,69369
XGBoost,0,0.9441274283647411,0.42295485675760464,1387132,69369
PlainMLP,0,0.9441771131532986,0.41764792217170144,1387132,69369
PINN,0,0.9428592271016878,0.4065920027870327,1387132,69369
LogisticRegression,1,0.9470387666834368,0.5524302922937887,1386941,124970
RandomForest,1,0.9486366989264092,0.5637981860000724,1386941,124970
XGBoost,1,0.9521872022578942,0.6082510051820145,1386941,124970
PlainMLP,1,0.9562674553656619,0.6344117776882329,1386941,124970
PINN,1,0.9557616337202044,0.6259538734130734,1386941,124970
LogisticRegression,2,0.9402976394891007,0.4669480480331467,1386936,75735
RandomForest,2,0.9483927280142578,0.551252821986151,1386936,75735
XGBoost,2,0.9512268581993866,0.5737715113633164,1386936,75735
PlainMLP,2,0.9492498622615884,0.5720567481930449,1386936,75735
PINN,2,0.9494537752832727,0.5730270068951394,1386936,75735
